@relation 'gesture-weka.filters.unsupervised.attribute.Remove-R31_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,7-11,12-26,27-30,357'

@attribute ratio numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingerDirection_f1_x numeric
@attribute fingerDirection_f1_y numeric
@attribute fingerDirection_f1_z numeric
@attribute fingerDirection_f2_x numeric
@attribute fingerDirection_f2_y numeric
@attribute fingerDirection_f2_z numeric
@attribute fingerDirection_f3_x numeric
@attribute fingerDirection_f3_y numeric
@attribute fingerDirection_f3_z numeric
@attribute fingerDirection_f4_x numeric
@attribute fingerDirection_f4_y numeric
@attribute fingerDirection_f4_z numeric
@attribute fingerDirection_f5_x numeric
@attribute fingerDirection_f5_y numeric
@attribute fingerDirection_f5_z numeric
@attribute fingerAngle_1 numeric
@attribute fingerAngle_2 numeric
@attribute fingerAngle_3 numeric
@attribute fingerAngle_4 numeric
@attribute class {G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24}

@data
1,1,0.900174,0.920683,0.840788,0.77656,-0.655254,-0.078642,-0.751304,-0.16616,-0.558666,-0.812578,-0.29925,-0.569022,-0.76594,-0.36967,-0.583844,-0.722821,-0.453648,-0.534556,-0.71306,0,0,0,0,G05
1,1,0.880795,0.910636,0.787805,0.746921,-0.665949,-0.074001,-0.742318,-0.129865,-0.564896,-0.814879,-0.276866,-0.605725,-0.745951,-0.279586,-0.868798,-0.408683,-0.424261,-0.765483,-0.483775,0,0,0,0,G05
1,1,0.88041,0.910222,0.789562,0.747071,-0.666825,-0.072066,-0.741721,-0.132804,-0.561783,-0.816556,-0.279135,-0.604565,-0.746046,-0.282777,-0.86526,-0.413959,-0.426358,-0.763098,-0.485695,0,0,0,0,G05
1,1,0.896659,0.912587,0.808681,0.751848,-0.644828,-0.075302,-0.76061,-0.155931,-0.577692,-0.801223,-0.294038,-0.613828,-0.732637,-0.322905,-0.780847,-0.534799,-0.447188,-0.694751,-0.563332,0,0,0,0,G05
1,1,0.888814,0.909994,0.770907,0.727851,-0.657998,-0.078128,-0.748956,-0.133779,-0.561856,-0.816346,-0.294925,-0.608482,-0.736729,-0.275442,-0.893164,-0.355513,-0.432243,-0.790589,-0.433745,0,0,0,0,G05
1,1,0.873798,0.914934,0.764015,0.732693,-0.667808,-0.090233,-0.738844,-0.129702,-0.56839,-0.812472,-0.28723,-0.592289,-0.75279,-0.284993,-0.874965,-0.391428,-0.427834,-0.768331,-0.476052,0,0,0,0,G05
0.021877,0.611551,0.574751,1.113926,1.052737,0.876254,-0.033452,0.443972,-0.895416,0.181644,-0.965913,-0.184438,0.053271,0.722419,-0.689401,0.01676,0.773294,-0.633826,0.002679,0.817726,-0.575601,0.176963,0.244176,0,0,G06
0.013768,0.66764,0.910323,1.383405,1.296709,1.066241,-0.34719,0.661124,-0.665113,-0.062794,-0.465571,-0.88278,-0.059074,0.826697,-0.559537,-0.09015,0.859978,-0.502306,-0.108781,0.880429,-0.461532,0.999351,0.17848,0.245614,0,G06
0.022402,0.616974,0.576148,1.117334,1.054055,0.868066,-0.060611,0.053838,-0.996708,0.015585,-0.999532,-0.026306,0.081266,0.486997,-0.869615,0.039984,0.564025,-0.824789,0.01411,0.644354,-0.764597,0.170264,0.234024,0,0,G06
0.021378,0.628106,0.564275,1.121243,1.056428,0.867603,-0.056705,-0.01112,-0.998329,0.020406,-0.997422,0.068793,0.065746,0.462398,-0.884232,0.050219,0.572369,-0.818457,0.027881,0.65965,-0.751056,0.197104,0.237317,0,0,G06
0.021382,0.635708,0.570974,1.124081,1.055831,0.865418,-0.070852,-0.02357,-0.997208,0.003994,-0.998443,0.055636,0.053076,0.438494,-0.897165,0.03106,0.554638,-0.831512,0.015328,0.638703,-0.769301,0.192951,0.243055,0,0,G06
0.022115,0.589322,0.563029,1.122354,1.054116,0.863904,0.036525,0.325099,-0.944974,0.093628,-0.987777,-0.124625,0.034205,0.755012,-0.654819,0.001353,0.802889,-0.596128,-0.027366,0.84936,-0.527104,0.17525,0.233833,0,0,G06
0.02217,0.585496,0.563326,1.122151,1.054114,0.863814,0.039463,0.328945,-0.943524,0.095405,-0.987788,-0.123178,0.036244,0.755456,-0.654197,0.002444,0.803292,-0.59558,-0.027444,0.849477,-0.526912,0.174531,0.233077,0,0,G06
0.022443,0.594747,0.555043,1.103384,1.052498,0.884973,-0.057929,0.457103,-0.887525,0.224715,-0.968179,-0.110145,0.080597,0.707651,-0.70195,0.033922,0.76568,-0.642326,0.021366,0.805045,-0.592829,0.171341,0.240457,0,0,G06
0.022487,0.583857,0.559552,1.111169,1.054498,0.87382,0.069216,0.358389,-0.931003,0.130423,-0.983348,-0.12656,0.055606,0.728714,-0.682557,0.028898,0.784304,-0.619703,-0.007183,0.838545,-0.544785,0.181355,0.222653,0,0,G06
0.021918,0.590483,0.562332,1.102018,1.053756,0.887706,-0.047185,0.444656,-0.894458,0.217187,-0.969942,-0.109739,0.076693,0.705922,-0.704125,0.048941,0.7692,-0.637131,0.033442,0.812746,-0.581658,0.187592,0.236902,0,0,G06
1,0.75581,1,0.394584,0.376068,0.326799,-0.960007,0.271643,-0.067804,-0.963792,0.175452,0.200804,0.762605,0.005072,0.646844,0.769147,0.203226,0.605898,0.753056,0.460194,0.470242,0,0,0,0,G07
1,0.547509,1,0.371697,0.390227,0.327417,0.064545,-0.214833,-0.974516,-0.167833,-0.169927,-0.97106,-0.29005,-0.170296,0.941738,-0.456112,-0.057835,0.888041,-0.561306,0.232931,0.794152,0,0,0,0,G07
0.020092,0.850534,1.235283,0.468699,0.458304,0.471801,-0.932117,0.291643,-0.214716,-0.995006,-0.008345,-0.099466,0.702668,-0.187196,0.686452,0.660326,-0.0176,0.750773,0.561089,0.059353,0.825625,0.586045,0,0,0,G07
1,0.735952,1,0.382834,0.373191,0.318679,-0.939172,0.320815,-0.122611,-0.978186,0.153368,0.140109,0.742619,-0.134595,0.65605,0.739914,0.078315,0.668127,0.712964,0.399014,0.576603,0,0,0,0,G07
